# of Units,Date,Description,Address,Location Type
0,3/3/18 7:17,"EMS call, excluding vehicle accident with injury",104  Tampico ST ,1 or 2 family dwelling
0,3/3/18 8:28,"Good intent call, other",  Indiana ST ,"Residential street, road or residential driveway"
1,3/3/18 9:04,"Arcing, shorted electrical equipment",1101 E River Ridge PKWY ,Multifamily dwellings
1,3/3/18 10:58,No incident found on arrival at dispatch address,105  Wonder World DR ,Street or road in commercial area
1,3/3/18 15:51,Motor vehicle accident with no injuries, W Sessom DR ,Street or road in commercial area
1,3/3/18 18:26,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,3/3/18 19:54,"Medical assist, assist EMS crew",403 S LBJ DR ,Restaurant or cafeteria
1,3/3/18 20:12,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
2,3/3/18 21:40,Vehicle accident with injuries,1700 E Access RD ,Highway or divided highway
1,3/3/18 22:30,Dispatched & cancelled en route,1113 N IH 35  ,Restaurant or cafeteria
6,3/3/18 23:28,"Outside rubbish, trash or waste fire",207  NB  ,1 or 2 family dwelling
0,3/3/18 23:58,Motor vehicle/pedestrian accident (MV Ped),100 N Guadalupe ST ,Street or road in commercial area
1,3/4/18 0:05,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
1,3/4/18 3:07,Extinguishing system activation due to malfunction,1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,3/4/18 9:11,"EMS call, excluding vehicle accident with injury",1611 N IH 35  ,"Hotel/motel, commercial"
0,3/4/18 11:08,"EMS call, excluding vehicle accident with injury",1407  Madrid TRCE ,1 or 2 family dwelling
1,3/4/18 11:33,"EMS call, excluding vehicle accident with injury",130 W Holland ST ,"Church, mosque, synagogue, temple, chapel"
1,3/4/18 14:15,"Medical assist, assist EMS crew",1201  Thorpe LN ,Multifamily dwellings
1,3/4/18 15:04,"EMS call, excluding vehicle accident with injury",910  Dale DR ,1 or 2 family dwelling
1,3/4/18 16:54,"EMS call, excluding vehicle accident with injury",223  Tampico ST ,1 or 2 family dwelling
2,3/4/18 17:52,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
1,3/4/18 18:58,Vehicle accident with injuries, W Hopkins ST ,"Residential street, road or residential driveway"
1,3/4/18 19:20,"EMS call, excluding vehicle accident with injury",1900  Aquarena Springs DR ,Multifamily dwellings
2,3/4/18 19:21,Search for person on land,2106  Hunter RD ,Open land or field
2,3/4/18 23:48,Unauthorized burning,125 N Bishop ST ,1 or 2 family dwelling
2,3/5/18 2:11,Vehicle accident with injuries,207  SB  ,Highway or divided highway
1,3/5/18 6:05,"EMS call, excluding vehicle accident with injury",1610 N IH 35  ,Multifamily dwellings
2,3/5/18 6:46,Assist police or other governmental agency,200  SB  ,Highway or divided highway
1,3/5/18 9:16,"Telephone, malicious false alarm",428 W Hutchison ST ,"Barracks, dormitory"
1,3/5/18 9:57,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,3/5/18 14:34,"Toxic condition, other",236  Braeden Brooke DR ,1 or 2 family dwelling
2,3/5/18 15:17,"EMS call, excluding vehicle accident with injury",2301  Hunter RD ,Warehouse
0,3/5/18 16:48,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,3/5/18 17:40,"EMS call, excluding vehicle accident with injury",420  North ST ,Multifamily dwellings
1,3/5/18 17:57,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
2,3/5/18 23:25,Smoke detector activation due to malfunction,1101 E River Ridge PKWY ,Multifamily dwellings
1,3/6/18 3:22,"EMS call, excluding vehicle accident with injury",309  Lamar AVE ,1 or 2 family dwelling
1,3/6/18 5:43,Alarm system sounded due to malfunction,100  Thermon DR ,Warehouse
1,3/6/18 8:16,"EMS call, excluding vehicle accident with injury",1011  Wonder World DR ,Multifamily dwellings
1,3/6/18 10:03,"Medical assist, assist EMS crew",2406  Hunter RD ,"Clinics, Doctors offices, hemodialysis centers"
1,3/6/18 10:28,"EMS call, excluding vehicle accident with injury",1101  Sycamore ST ,1 or 2 family dwelling
1,3/6/18 11:06,"EMS call, excluding vehicle accident with injury",1401  Davis LN ,"Schools, non-adult"
2,3/6/18 11:30,"Alarm system sounded, no fire - unintentional",1740  Old Ranch Road 12  ,Multifamily dwellings
1,3/6/18 11:34,Animal rescue,1201  Thorpe LN ,Multifamily dwellings
1,3/6/18 14:10,"EMS call, excluding vehicle accident with injury",1811  Medical PKWY ,Multifamily dwellings
1,3/6/18 14:32,"Medical assist, assist EMS crew",1701 S IH 35  ,Vehicle parking area
1,3/6/18 18:14,No incident found on arrival at dispatch address,400  North Fork RD ,Open land or field
1,3/6/18 18:24,Gas leak (natural gas or LPG),400  Silo ST ,Vacant lot
1,3/6/18 18:42,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,3/6/18 22:27,Vehicle accident with injuries,  Aquarena Springs DR ,Convenience store
1,3/6/18 22:32,"EMS call, excluding vehicle accident with injury",408  Oak Ridge DR ,1 or 2 family dwelling
1,3/6/18 23:25,"Medical assist, assist EMS crew",710  Stampede RD ,1 or 2 family dwelling
1,3/7/18 10:38,Dispatched & cancelled en route,811 S Guadalupe ST ,"Hotel/motel, commercial"
3,3/7/18 10:52,Motor vehicle accident with no injuries,201 W Access RD ,Highway or divided highway
2,3/7/18 17:35,Gasoline or other flammable liquid spill,  Rr 12  ,Street or road in commercial area
1,3/7/18 19:31,Motor vehicle accident with no injuries, W San Antonio ST ,"Residential street, road or residential driveway"
1,3/7/18 20:04,Dispatched & cancelled en route,120  Bert Brown RD ,None
1,3/7/18 20:14,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,3/7/18 20:20,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,3/7/18 21:09,Motor vehicle accident with no injuries,900  Hwy 80  ,Highway or divided highway
1,3/7/18 23:36,Motor vehicle accident with no injuries, N LBJ DR ,Street or road in commercial area
1,3/8/18 4:53,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
6,3/8/18 7:52,Building fire,311 E Hopkins ST ,Restaurant or cafeteria
2,3/8/18 9:44,"Unintentional transmission of alarm, other",614 N Guadalupe ST ,Restaurant or cafeteria
2,3/8/18 10:45,No incident found on arrival at dispatch address, E Hutchison ST ,Street or road in commercial area
1,3/8/18 11:06,"EMS call, excluding vehicle accident with injury",1225  Hwy 123  ,Preschool
2,3/8/18 11:20,"EMS call, excluding vehicle accident with injury",110  Willow Springs DR ,"Doctor, dentist or oral surgeon's office"
6,3/8/18 13:21,"Cooking fire, confined to container",215  Pat Garrison ST ,1 or 2 family dwelling
2,3/8/18 13:53,"Smoke detector activation, no fire - unintentional",314  Ellis ST ,1 or 2 family dwelling
3,3/8/18 16:09,"EMS call, excluding vehicle accident with injury",  Hwy 123  ,Highway or divided highway
2,3/8/18 18:44,Assist police or other governmental agency,1500 S IH 35  ,Highway or divided highway
6,3/9/18 1:54,"Heat from short circuit (wiring), defective/worn",1507  Delmar ST ,1 or 2 family dwelling
2,3/9/18 2:11,"EMS call, excluding vehicle accident with injury",141 E Hopkins ST ,Bar or nightclub
1,3/9/18 2:18,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,3/9/18 10:04,"EMS call, excluding vehicle accident with injury",331 W Hopkins ST ,Specialty shop
2,3/9/18 17:26,Motor vehicle accident with no injuries,205  SB  ,Highway or divided highway
1,3/10/18 3:33,"Vehicle accident, general cleanup", N Guadalupe ST ,Street or road in commercial area
1,3/10/18 6:12,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
2,3/10/18 11:36,Motor vehicle accident with no injuries,2661 N IH 35  ,Street or road in commercial area
4,3/10/18 12:33,Grass fire,2500 E McCarty LN ,Highway or divided highway
3,3/10/18 18:05,"Brush, or brush and grass mixture fire",200  Saddle Run WAY ,Construction site
1,3/10/18 21:44,"EMS call, excluding vehicle accident with injury",1560 S IH 35  ,"Hotel/motel, commercial"
1,3/10/18 22:40,Alarm system sounded due to malfunction,600  Staples RD ,"Elementary school, including kindergarten"
1,3/11/18 0:27,Alarm system sounded due to malfunction,600  Staples RD ,"Elementary school, including kindergarten"
2,3/11/18 1:11,Assist police or other governmental agency,207  NB  ,Highway or divided highway
1,3/11/18 3:16,"EMS call, excluding vehicle accident with injury",336 W Hopkins ST ,Street or road in commercial area
1,3/11/18 3:36,"EMS call, excluding vehicle accident with injury",135 S Guadalupe ST ,Vehicle parking area
1,3/11/18 9:15,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,3/11/18 10:22,"EMS call, excluding vehicle accident with injury",21  Timbercrest  ,1 or 2 family dwelling
2,3/11/18 11:29,Motor vehicle accident with no injuries,2200 S IH 35  ,"Street, other"
1,3/11/18 14:00,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,3/11/18 14:20,Motor vehicle accident with no injuries, S Guadalupe ST ,Street or road in commercial area
3,3/11/18 15:34,Gas leak (natural gas or LPG),1201  Thorpe LN ,1 or 2 family dwelling
6,3/11/18 18:42,"Steam, other gas mistaken for smoke, other",201  Barnes DR ,"Manufacturing, processing"
1,3/11/18 20:15,"Good intent call, other",900  Luciano Flores BLVD ,Street or road in commercial area
1,3/11/18 21:16,"EMS call, excluding vehicle accident with injury",1703 N IH 35  ,Multifamily dwellings
1,3/11/18 23:21,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,3/12/18 0:04,No incident found on arrival at dispatch address,1000  Sycamore ST ,"Residential street, road or residential driveway"
2,3/12/18 1:04,"Brush, or brush and grass mixture fire",1433 N IH 35  ,"Hotel/motel, commercial"
1,3/12/18 1:36,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,3/12/18 2:19,"EMS call, excluding vehicle accident with injury",917 N IH 35  ,"Hotel/motel, commercial"
1,3/12/18 3:54,"EMS call, excluding vehicle accident with injury",1121  Burleson ST ,1 or 2 family dwelling
1,3/12/18 9:41,Gas leak (natural gas or LPG),501 S Guadalupe ST ,"Residential street, road or residential driveway"
1,3/12/18 12:28,"Medical assist, assist EMS crew",503  Uhland RD ,1 or 2 family dwelling
1,3/12/18 12:49,"EMS call, excluding vehicle accident with injury",417  Parker DR ,1 or 2 family dwelling
1,3/12/18 12:56,Gas leak (natural gas or LPG),500  Patton ST ,1 or 2 family dwelling
1,3/12/18 13:24,"EMS call, excluding vehicle accident with injury",1001  Hwy 123  ,Restaurant or cafeteria
1,3/12/18 13:42,"Medical assist, assist EMS crew",2600  Hunter RD ,Multifamily dwellings
1,3/12/18 14:37,"Medical assist, assist EMS crew",1321 N IH 35  ,"Hotel/motel, commercial"
3,3/12/18 15:35,Vehicle accident with injuries,207  SB  ,Highway or divided highway
1,3/12/18 17:49,"EMS call, excluding vehicle accident with injury",164  South Fork RD ,1 or 2 family dwelling
1,3/12/18 19:45,"Alarm system sounded, no fire - unintentional",600  Staples RD ,"Elementary school, including kindergarten"
1,3/12/18 21:51,Passenger vehicle fire,700 N LBJ DR ,Vehicle parking area
2,3/13/18 1:17,Bomb scare - no bomb,216  Trestle Tree  ,1 or 2 family dwelling
1,3/13/18 8:21,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,Multifamily dwellings
2,3/13/18 8:36,Bomb scare - no bomb,1348  Thorpe LN ,Multifamily dwellings
1,3/13/18 9:17,Vehicle accident with injuries,  Hunter RD ,Street or road in commercial area
1,3/13/18 12:02,Motor vehicle accident with no injuries, N C M Allen PKWY ,Street or road in commercial area
1,3/13/18 12:56,Motor vehicle accident with no injuries, S LBJ DR ,Street or road in commercial area
2,3/13/18 16:01,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
2,3/13/18 17:10,Motor vehicle accident with no injuries,200  NB  ,Highway or divided highway
1,3/13/18 17:10,"EMS call, excluding vehicle accident with injury",814  Gravel ST ,1 or 2 family dwelling
1,3/13/18 17:35,Assist police or other governmental agency,200  NB  ,Highway or divided highway
1,3/13/18 19:15,Dispatched & cancelled en route,198  SB  ,Open land or field
1,3/13/18 21:39,"Fire, other",1320  River RD ,"Lake, river, stream"
3,3/13/18 22:25,Bomb scare - no bomb,1655  Mill ST ,Multifamily dwellings
1,3/13/18 22:57,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,3/14/18 3:03,Motor vehicle accident with no injuries,112  West AVE ,"Residential street, road or residential driveway"
1,3/14/18 3:12,"EMS call, excluding vehicle accident with injury",126 S Guadalupe ST ,Vehicle parking area
1,3/14/18 5:44,"Sprinkler activation, no fire - unintentional",1942 S IH 35  ,Specialty shop
1,3/14/18 8:38,"Smoke detector activation, no fire - unintentional",124  Spring RD ,"Sorority house, fraternity house"
6,3/14/18 8:59,"Cooking fire, confined to container",602  Hines ST ,1 or 2 family dwelling
1,3/14/18 10:08,"EMS call, excluding vehicle accident with injury",2035  Lisa LN ,1 or 2 family dwelling
1,3/14/18 11:08,"EMS call, excluding vehicle accident with injury",915  Hwy 80  ,"Clinics, Doctors offices, hemodialysis centers"
2,3/14/18 12:16,Bomb scare - no bomb,321  Staples RD ,1 or 2 family dwelling
1,3/14/18 12:28,"Smoke detector activation, no fire - unintentional",137  Linden LN ,1 or 2 family dwelling
1,3/14/18 13:43,"EMS call, excluding vehicle accident with injury",813  Bracewood CIR ,Multifamily dwellings
1,3/14/18 14:12,EMS: Dispatched & cancelled en route,1401 E McCarty LN ,Warehouse
1,3/14/18 14:23,No incident found on arrival at dispatch address,  Paintbrush  ,Vacant lot
1,3/14/18 14:32,Bomb scare - no bomb,1805  Aquarena Springs DR ,Multifamily dwellings
2,3/14/18 18:25,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,3/14/18 18:47,"Smoke scare, odor of smoke",700  Belvin ST ,"Residential street, road or residential driveway"
2,3/14/18 18:48,"Unintentional transmission of alarm, other",1906 N IH 35  ,"Church, mosque, synagogue, temple, chapel"
1,3/14/18 19:02,Alarm system sounded due to malfunction,1942 S IH 35  ,Business office
1,3/14/18 19:35,"Medical assist, assist EMS crew",1113 N IH 35  ,Restaurant or cafeteria
1,3/14/18 20:30,Dispatched & cancelled en route,134  Rush Haven  ,1 or 2 family dwelling
6,3/15/18 0:47,Fires in structures other than in a building,1006 N Uhland RD ,1 or 2 family dwelling
1,3/15/18 3:20,"EMS call, excluding vehicle accident with injury",142  Windmill DR ,Multifamily dwellings
1,3/15/18 5:02,"Unintentional transmission of alarm, other",1305 S IH 35  ,Restaurant or cafeteria
1,3/15/18 6:39,No incident found on arrival at dispatch address,338 S Guadalupe ST ,Bus station
5,3/15/18 13:08,Hazmat release investigation w/ no hazmat,1624  Aquarena Springs DR ,Multifamily dwellings
1,3/15/18 15:06,Removal of victim(s) from stalled elevator,701 N Guadalupe ST ,Library
1,3/15/18 21:46,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,3/16/18 3:17,Public service,208  SB  ,Highway or divided highway
1,3/16/18 3:58,"EMS call, excluding vehicle accident with injury",321  Durango ST ,1 or 2 family dwelling
2,3/16/18 10:12,"Electrical  wiring/equipment problem, other",615 N Lbj DR ,"Adult education center, college classroom"
1,3/16/18 11:06,"Medical assist, assist EMS crew",317 W Woods ST ,"Adult education center, college classroom"
